time_s,execs,cov,ft,corpus,oom,timeout,crash
39,0,24034,24034,4400,0,0,0
42,837,24034,24034,4400,0,0,1
47,2742,26066,24034,4400,0,0,1
52,4743,26272,24034,4400,0,0,1
58,5431,26366,24036,4401,0,0,1
65,7277,26510,24036,4401,0,0,1
74,9869,26543,24039,4404,0,0,1
83,13745,26584,24039,4404,0,0,1
93,17807,26616,24039,4404,0,0,1
93,17807,26632,24039,4404,0,0,1
105,23701,26632,24039,4404,0,0,2
105,23701,26670,24040,4405,0,0,2
119,31198,26670,24040,4405,0,0,3
135,34027,26679,24041,4406,0,0,3
152,35993,26703,24041,4406,0,0,3
171,39144,26764,24042,4407,0,0,3
190,42881,26770,24043,4408,0,0,3
190,42881,26788,24043,4408,0,0,3
210,44339,26788,24043,4408,0,0,4
232,45609,26807,24045,4410,0,0,4
233,45609,26829,24045,4410,0,0,4
233,45609,26829,24045,4410,0,0,5
257,55671,26829,24045,4410,0,0,6
282,61593,26839,24050,4412,0,0,6
308,69207,26852,24051,4413,0,0,6
336,74335,26876,24053,4414,0,0,6
364,84382,26882,24053,4414,0,0,6
364,84382,26892,24053,4414,0,0,6
394,93990,26892,24053,4414,0,0,7
427,95560,26897,24053,4414,0,0,7
427,95560,26911,24053,4414,0,0,7
461,104117,26911,24053,4414,0,0,8
496,110501,26920,24053,4414,0,0,8
532,113746,26930,24053,4414,0,0,8
565,115247,26940,24053,4414,0,0,8
603,125927,26947,24053,4414,1,0,8
603,125927,26957,24056,4417,1,0,8
642,133563,26957,24056,4417,1,0,9
683,145886,26960,24056,4417,1,0,9
726,146709,26970,24056,4417,1,0,9
769,157862,26975,24056,4417,1,0,9
816,161054,26987,24057,4418,1,0,9
861,167754,26997,24057,4418,1,0,9
907,179085,26997,24058,4419,1,0,9
953,193610,27005,24061,4421,1,0,9
1000,211820,27008,24062,4422,1,0,9
1001,211820,27013,24063,4423,1,0,9
1052,213418,27013,24063,4423,1,0,10
1102,225061,27018,24063,4423,1,0,10
1153,248932,27019,24063,4423,1,0,10
1206,262019,27023,24063,4423,1,0,10
1259,281002,27035,24064,4424,1,0,10
1314,297369,27039,24064,4424,1,0,10
1369,313373,27041,24064,4424,1,0,10
1426,334773,27046,24064,4424,1,0,10
1483,348560,27047,24065,4425,1,0,10
1483,348560,27048,24066,4426,1,0,10
1543,353048,27048,24066,4426,1,0,11
1604,369355,27054,24066,4426,1,0,11
1665,380458,27056,24066,4426,1,0,11
1728,394596,27066,24066,4426,1,0,11
1797,398361,27071,24068,4428,1,0,11
1799,398361,27074,24069,4429,1,0,11
1864,420643,27074,24069,4429,1,0,12
1865,420643,27078,24069,4429,1,0,12
1932,437209,27078,24069,4429,1,0,13
2002,445297,27082,24069,4429,1,0,13
2071,463543,27083,24069,4429,1,0,13
2071,463543,27090,24071,4430,1,0,13
2143,481314,27090,24071,4430,1,0,14
2215,506226,27096,24071,4430,1,0,14
2289,525091,27101,24072,4431,1,0,14
2363,543059,27104,24072,4431,1,0,14
2363,543059,27107,24072,4431,1,0,14
2440,563989,27107,24072,4431,1,0,15
